TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,VPD_F,RH_F,PA_F,TA_F,P_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20140824,-0.4309883337931035,18.054879310344827,99.38913793103448,-9999,0.2331480869565217,195.64893229166668,13.484799312500002,309.45914583333337,385.71583333333336,85.66408333333334,3.7015261518491034,72.56729166666666,96.75191666666666,10.486389166666664,0.0,10.137327083333338,10.27977708333333,9.92574375,9.437982708333333,1.5003562499999996,1.2287914583333328,1.0483268958333332,0.9294258333333332,111.2206543478261,4.12713858695652,-0.2715632641666667,17.19329375,88.00091666666664,49.26729,196.9228750000001,13.484799312500002,309.45914583333337,385.71583333333336,85.66408333333334,3.7053124999999993,72.56729166666666,96.7519375,10.486333333333334,0.0,4.076770833333334,81.42490208241203,0.6497788233649933,89.39790652909254,1.0
20140825,-0.6029695000000002,13.524128,98.79357692307691,-9999,0.1939785608695652,198.0039293958334,16.068431979166675,294.86858333333333,384.3545833333335,81.59729166666666,3.792463766002743,72.17062499999999,96.92066458333336,10.189814375,0.0,9.641410416666668,9.881020833333332,9.8114875,9.386104375,1.8683168749999997,1.5247708333333334,0.9836857916666668,0.833056875,120.3861456521739,3.3935834782608696,-0.34354633333333345,15.643893124999995,88.40052083333335,48.86802708333334,199.53272916666666,16.068431979166675,294.86858333333333,384.3545833333335,81.59729166666666,3.7963750000000007,72.17062499999999,96.92070833333332,10.189895833333336,0.0,3.348895833333333,77.15219779338055,0.43587105550827504,94.64319711664541,1.0
20140826,-0.6086933333333334,5.8600200000000005,45.6993,2.8887680000000002,0.10984577222222222,136.66091416666669,14.18055270833333,325.300375,384.85583333333335,72.70379166666666,2.980194411454059,78.95383333333334,96.84703541666669,10.016066041666663,0.0,9.590343750000004,9.621783333333337,9.6082125,9.324927916666663,2.1640437500000003,1.8256083333333333,1.1271885,1.1164312500000002,154.14436571428567,1.7152746083333332,-0.3384332479166667,12.699597916666667,70.28583333333334,33.79346052083335,137.7241875,14.18055270833333,325.300375,384.85583333333335,72.70379166666666,2.9833125,78.95383333333334,96.84708333333332,10.016145833333333,0.0,1.7519791666666666,58.96923469987487,-0.029242443056640376,94.38434016753786,1.0
20140827,-9999,-9999,-9999,-9999,-9999,172.76419531250005,12.325694354166664,307.1173750000001,382.19583333333327,81.83693750000002,1.495948095760985,87.41074999999996,96.97068125,8.79270541666667,0.0,9.771083333333333,9.763370833333337,9.508306250000002,9.245401875000002,2.2958631250000003,2.003414583333333,1.3679752083333332,1.2674102083333336,-9999,-9999,-0.2924482895833334,21.76376041666667,85.22095833333331,44.92686166666669,174.26179166666668,12.325694354166664,307.1173750000001,382.19583333333327,81.83693750000002,1.4973541666666668,87.41074999999996,96.97066666666667,8.792729166666664,0.0,3.741625,65.79805968115157,-0.6636780480787133,92.08484787540769,1.0
20140828,-9999,-9999,-9999,-9999,-9999,110.28505743333334,6.9605253750000005,348.4651458333333,384.99270833333327,61.36462499999998,2.4494665785650684,81.09318750000001,97.4643395833333,9.695550416666668,0.0,9.908270833333333,9.69915625,9.431564583333332,9.171478333333333,2.264610625,2.397675,1.4295975625,1.6448520833333329,-9999,-9999,0.13305802083333335,9.955906249999996,71.7558541666667,63.67712499999998,111.279625,6.9605253750000005,348.4651458333333,384.99270833333327,61.36462499999998,2.4519375,81.09318750000001,97.4643125,9.695604166666667,0.0,2.122125,61.62216581575778,-0.1000633471169335,101.79652650420807,1.0
20140829,-9999,-9999,-9999,-9999,-9999,183.4603787291666,15.451848749999995,309.0257708333332,387.98708333333326,80.4090833333333,3.623304613504912,75.31016666666666,97.58666041666667,11.03849875,0.0,10.210477083333334,10.06729375,9.465081250000004,9.107070625,2.280011875,2.8645541666666667,1.762277083333334,2.1107666666666667,-9999,-9999,0.5845300208333333,-0.5918166666666685,73.87525000000002,64.70575833333335,184.65256249999996,15.451848749999995,309.0257708333332,387.98708333333326,80.4090833333333,3.6271458333333335,75.31016666666666,97.58662499999998,11.038499999999996,0.0,1.3106875,73.27868824730035,-0.2965069870476334,100.22301924173496,1.0
20140830,-9999,-9999,-9999,-9999,-9999,181.30738145833325,16.515443541666667,299.3151458333333,386.62208333333336,82.5539375,3.9568717957109394,74.25483333333331,97.65177083333334,10.1968575,0.0,9.178914583333334,9.436089583333333,9.432425,9.072115208333337,3.0451,3.0847229166666663,1.936126875,2.3309354166666667,-9999,-9999,0.03963666666666668,3.6344020833333333,70.6707666666667,71.33977083333333,182.69452083333337,16.515443541666667,299.3151458333333,386.62208333333336,82.5539375,3.9610416666666666,74.25483333333331,97.65170833333336,10.196916666666663,0.0,1.0785000000000002,73.78549486161853,-0.2542620703239412,100.12941358812223,1.0
20140831,-9999,-9999,-9999,-9999,-9999,177.2862966666667,15.227521041666662,305.59820833333333,387.58583333333326,81.96752083333331,4.1778280585677185,74.6967708333333,97.75490625000002,10.820936249999995,0.0,9.090485416666667,9.150397916666666,9.20233125,9.02842708333333,4.036333125,3.4924666666666666,2.1069339583333333,2.7436437500000004,-9999,-9999,-0.5438713124999998,4.655625,72.3255,68.58926347916668,178.69399999999996,15.227521041666662,305.59820833333333,387.58583333333326,81.96752083333331,4.182187499999999,74.6967708333333,97.75487499999996,10.820958333333332,0.0,1.8479583333333331,72.68220507820038,-0.13692905375831713,94.554984926177,1.0
20140901,0.7657675,-22.94675,32.119125,21.48233333333333,0.2324571117647059,127.96709018750003,10.37882270833333,322.0649583333333,386.9875,67.63108333333334,2.5797301608276486,82.35110416666667,97.46999791666669,10.111277708333333,0.0,8.881447916666668,8.922527083333337,9.039122916666667,8.95742083333333,3.812940104166667,3.6888687499999993,2.111652729166667,2.8943520833333336,264.4727058823529,2.75941105882353,-0.12407637499999995,-0.4709004166666683,60.19335416666666,56.87919725,129.06995833333332,10.37882270833333,322.0649583333333,386.9875,67.63108333333334,2.5824791666666664,82.35110416666667,97.47004166666667,10.111375000000002,0.0,2.8523333333333336,58.216113607230085,0.2357697877475165,82.3864131406347,1.0
20140902,0.4408775,1.0537555555555551,37.3083,40.10626,0.18702026666666666,50.866651625,3.5758507708333327,362.8471458333333,390.81833333333344,23.170874999999995,2.283940898845094,84.07735416666667,97.27604791666668,11.617018541666665,0.0,9.916795833333335,9.519520833333337,9.00083125,8.881806041666668,3.029800120833334,4.255189583333332,2.0040722916666667,3.2785187500000004,191.02169375,2.234544041666666,1.2253866041666663,-13.963066458333335,41.34754166666665,44.29208125,51.763250000000006,3.5758507708333327,362.8471458333333,390.81833333333344,23.170874999999995,2.2863333333333333,84.07735416666667,97.2761041666667,11.617104166666666,0.0,2.2344999999999997,45.976468834349326,0.9287603837463108,77.62129865155315,1.0
