TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,G,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20141115,0.24169285714285715,-8.678859090909093,2.0462717647058826,12.695156000000004,0.2613494774583333,2.526326271041667,-9999,-9999,-9999,-31.553705208333326,8.65226111458333,-9999,1.9370601020471725,65.74433333333333,95.34408270833329,-1.839971430625,0.0,-0.7896010833333335,-0.5040435708333332,-0.1825290833333333,-0.1685870416666666,-0.21586771041666653,-2.1433125,-0.05353797916666672,0.194791875,0.2278658333333333,1.2656745833333334,211.74248104166665,3.151003120833334,0.2483304166666667,-16.72992916666667,1.9111700000000005,12.755845833333336,4.88225,-9999,232.45339583333345,-9999,-31.553705208333326,8.65226111458333,-9999,1.9359375,65.74433333333333,95.3440625,-1.8399375,0.0,-2.1433125,3.1510416666666665,1.4306013117245382,0.27745088020188785,12.661973767058733,1.0
20141116,-0.7181114285714286,2.493814285714285,1.0069804666666669,-4.034309523809524,0.11369411816666665,1.7173476745833332,-9999,-9999,-9999,-20.894782416666672,6.8031658541666635,-9999,0.5807602596074107,84.60581249999998,95.25858875,-7.448085604166668,0.0,-0.8108773541666664,-0.4539434812499999,-0.0846875875,-0.06403983541666669,-0.12000412499999995,-2.4922937500000004,0.4863507666666668,0.166850625,0.1902277708333333,0.4500289583333333,243.03410270833328,1.95361201875,-0.3195014,2.1625187500000007,1.0345754999999999,-1.9739458333333333,3.4786458333333337,-9999,233.74927083333336,-9999,-20.894782416666672,6.8031658541666635,-9999,0.5796041666666666,84.60581249999998,95.25856250000002,-7.4481458333333315,0.0,-2.4922937500000004,1.9536666666666669,0.8147751486742228,0.09969864618335632,3.1103351521802,1.0
20141117,0.723065,-2.4981874999999985,1.0858,24.666,0.20990916920833336,0.09511746250000053,-9999,-9999,-9999,6.647811250000002,4.698050729166667,-9999,0.4437353862488809,82.009,95.009450625,-12.67235575,0.0,-1.4402779166666664,-0.8648410416666666,-0.3413598979166667,-0.29596452083333336,-0.3583011666666667,-3.852706249999999,-0.0016188708333333458,0.137531875,0.14815660416666668,0.13620091666666664,218.3859979166666,0.6599115,0.13915416666666666,1.5705616458333331,0.9975641666666668,8.905806041666667,2.240583333333334,-9999,232.7992500000001,-9999,6.647811250000002,4.698050729166667,-9999,0.4419583333333333,82.009,95.00945833333333,-12.67235416666667,0.09,-3.852706249999999,0.6598958333333335,0.6697527177173771,0.2850567924689167,9.294733360099864,1.0
20141118,-0.12783647058823527,4.705483076923077,0.8662976923076922,2.2110476190476183,0.14219511827083334,0.1635771723404258,-9999,-9999,-9999,-24.57144042553191,6.074908604255318,-9999,0.7191880423634089,77.62110638297871,94.40110297872343,-9.77066070212766,0.0,-1.3186070212765957,-0.7701642553191491,-0.187175470212766,-0.11558259148936165,-0.17409212765957455,-3.9256872340425533,0.32546524999999993,0.1549314791666667,0.15926614583333332,0.3151477083333333,233.61580425531915,2.2832517680851065,-0.1705332979166666,3.829451625,1.0471562500000005,2.6323760416666664,2.491,-9999,230.27893750000018,-9999,-24.47853541666667,6.051189675,-9999,0.7210833333333331,77.60677083333333,94.39100000000002,-9.803770833333337,0.0,-3.9206979166666662,2.318645833333333,0.6829559833937416,0.09506220929475084,5.751520014593353,1.0
20141119,0.35365,-2.6362,0.16236500000000004,-9999,0.124379682,1.3967253128958337,-9999,-9999,-9999,-0.7674981666666666,2.4251269166666667,-9999,0.4886584519380963,79.28687500000002,93.40491208333331,-14.376350812499998,0.0,-2.292033333333334,-1.7264077083333331,-1.0180385833333332,-0.9763252291666666,-1.1053097083333332,-4.3746583333333335,0.07350777083333332,0.12779108333333336,0.17495914604166665,0.15980665833333332,184.36606791666665,1.4540856747916668,0.054283498958333336,-0.4047641666666672,0.5826987083333333,6.616296041666666,2.0838750000000004,-9999,264.18189583333344,-9999,-0.7674981666666666,2.4251269166666667,-9999,0.4865625,79.28687500000002,93.404875,-14.37635416666666,1.6709999999999998,-4.3746583333333335,1.4540833333333332,0.4487613370949723,0.1768027810625891,9.732567810499855,1.0
20141120,-9999,-9999,-9999,-9999,-9999,-1.7043589083333333,-9999,-9999,-9999,-37.01510416666669,4.2334975625,-9999,0.8405052980190257,73.23875,93.64320999999997,-9.734071104166665,0.0,-1.3515895833333336,-0.8748604166666666,-0.2652319187499999,-0.17734029166666665,-0.25739803125,-3.608222916666667,0.3877970208333333,0.15723833333333334,0.1260264583333333,0.3040509583333333,246.47868437500003,2.8210691312500003,-0.2305582291666667,1.858357125,1.0351472916666662,0.6764144166666668,1.5377499999999995,-9999,233.72447916666675,-9999,-37.01510416666669,4.2334975625,-9999,0.8381666666666666,73.23875,93.64316666666667,-9.734083333333334,0.0,-3.608222916666667,2.8210625,0.49819468228754704,0.2027541277764796,9.58967894077291,1.0
20141121,-0.0336575,2.5245965517241395,0.4522970833333333,14.293763636363638,0.15714063954347826,-1.216921572916667,-9999,-9999,-9999,-8.084945625000001,3.5208831875000004,-9999,0.469935879877394,73.5187291666667,93.04829833333332,-17.165509375000006,0.0,-1.790434375,-1.2100781250000003,-0.5564901041666666,-0.4621942708333333,-0.5545361458333332,-4.092314583333334,0.13006101458333333,0.11197014583333333,0.11113822916666666,0.03699765,206.55446666666668,1.3707728857500003,-0.01808964583333335,0.2285708541666676,0.4478060416666667,9.691208333333332,1.4086041666666669,-9999,192.19702083333328,-9999,-8.084945625000001,3.5208831875000004,-9999,0.4670416666666666,73.5187291666667,93.04835416666668,-17.165437500000007,0.0,-4.092314583333334,1.3707916666666666,0.4342102640089277,0.07315028400191001,12.378246949035585,1.0
20141122,-0.4122404999999999,-4.322321034482759,0.11912247619047613,-4.278708571428571,0.10586195029166663,-1.4365454374999995,-9999,-9999,-9999,-44.35929166666666,3.87370508125,-9999,0.7415628000951159,51.62354166666668,93.171690625,-18.34814770833334,0.0,-2.002158333333334,-1.3006110416666667,-0.5573258333333334,-0.4231756249999999,-0.505564375,-4.850633333333334,0.2719327708333335,0.10476427083333337,0.10893583333333334,0.02401470000000001,335.8311602083333,4.2480777708333335,-0.16716916041666666,-4.737007083333333,0.15750362499999995,-1.5234270833333317,1.2788333333333333,-9999,178.70200000000008,-9999,-44.35929166666666,3.87370508125,-9999,0.7362916666666669,51.62354166666668,93.17170833333334,-18.348166666666668,0.0,-4.850633333333334,4.248124999999999,0.16163085150415746,-0.09049402259904947,-1.1682082248009464,1.0
20141123,-0.40964199999999984,0.13362608695652126,0.4843241860465116,-5.097718749999999,0.108374926375,-1.3323502145833332,-9999,-9999,-9999,-42.06745833333333,3.580731833333333,-9999,0.4734354164294334,55.352833333333336,93.50470895833335,-22.13892875,0.0,-2.31690625,-1.5108729166666663,-0.6647118750000002,-0.4856975,-0.5718347916666666,-5.554124999999999,0.3154308125,0.07980779166666667,0.09710604166666666,0.0041819562499999996,337.8376979166667,4.120929770833333,-0.2356220856250001,-3.534648958333334,0.45744750000000006,-1.705875,1.0958125,-9999,180.5462708333333,-9999,-42.06745833333333,3.580731833333333,-9999,0.4687708333333332,55.352833333333336,93.5046666666667,-22.139,0.0,-5.554124999999999,4.120958333333333,0.480840861883897,-0.15969967427548065,-1.9035832006556836,1.0
20141124,0.04083421052631578,-4.123342666666666,0.2896008684210526,10.050488888888891,0.1541396974791667,0.6962060704166664,-9999,-9999,-9999,-16.176959583333332,3.2841164645833336,-9999,0.4095312165459272,67.69179166666666,94.00068729166668,-20.154082916666674,0.0,-2.576670833333333,-1.7432379166666667,-0.8133314583333334,-0.5873918979166665,-0.6727812708333333,-5.920852083333332,0.0866299791666667,0.09380256249999998,0.12442875000000002,0.010216872916666668,214.38849458333328,2.063908060416667,0.007172393208333308,-5.3139433333333335,0.2933979791666667,8.310154166666667,1.6640416666666666,-9999,229.29864583333352,-9999,-16.176959583333332,3.2841164645833336,-9999,0.4060208333333333,67.69179166666666,94.00066666666667,-20.154166666666654,0.21,-5.920852083333332,2.0639375,0.32002007022779905,0.08965934369210145,7.874689399975412,1.0
