TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,D_SNOW,TS_1,TS_2,TS_3,G_1,SWC_1,SWC_2,SWC_3,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,D_SNOW_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20141211,-9999,-9999,-9999,-9999,-9999,0.02008928571428571,-3.346333333333332,0.04218750000000001,0.0003125,0.1434041666666667,74.30416666666669,101.41875000000003,-29.03500000000001,13.675000000000004,-12.208020833333334,-12.15114583333333,-12.087916666666667,-7.6185312499999975,4.259374999999995,6.569791666666673,6.516666666666667,-9999,0.009122597916666666,0.0026429625,0.023131125,-9999,-9999,-9999,-9999,-9999,-9999,0.02008333333333333,154.83733333333333,-3.346333333333332,0.04218750000000001,0.0003125,0.14362499999999995,74.30416666666669,101.42083333333336,-29.00750000000001,0.0,13.675000000000004,6.7756041666666675,0.5204871650168611,0.05225562092702416,3.71583855284312,3.0
20141212,-9999,-9999,-9999,-9999,-9999,0.003154761904761907,-0.7352708333333333,0.006625,0.0002708333333333334,0.17115645833333334,77.71249999999998,101.35416666666669,-25.56958333333333,13.87708333333333,-11.702083333333334,-11.715937500000004,-11.703854166666673,-6.3094791666666685,4.2072916666666655,6.515625,6.458333333333327,-9999,0.02305676458333333,0.00042843625,0.06901072916666665,-9999,-9999,-9999,-9999,-9999,-9999,0.0031666666666666666,188.72064583333332,-0.7352708333333333,0.006625,0.0002708333333333334,0.17020833333333338,77.71249999999998,101.35,-25.68875,0.7280000000000005,13.87708333333333,6.611604166666668,0.923086925339774,0.06263368440790536,3.319706136879045,3.0
20141213,-9999,-9999,-9999,-9999,-9999,0.009513888888888886,-1.060604166666667,0.019979166666666662,0.0002708333333333334,0.16536249999999994,77.13333333333334,101.64166666666664,-26.234583333333337,14.120833333333332,-11.38979166666666,-11.470416666666665,-11.515729166666665,-5.444916666666668,4.216666666666667,6.481249999999997,6.423958333333331,-9999,0.02160087708333334,0.0012667841666666668,0.06586129166666667,-9999,-9999,-9999,-9999,-9999,-9999,0.009520833333333334,181.28572916666644,-1.060604166666667,0.019979166666666662,0.0002708333333333334,0.16556249999999995,77.13333333333334,101.63958333333332,-26.200416666666676,0.5960000000000002,14.120833333333332,5.1417916666666645,0.850651643571311,0.06079222949822308,2.9822633960542237,3.0
20141214,-9999,-9999,-9999,-9999,-9999,0.008869047619047605,-2.079,0.018625,0.0003125,0.13612000000000005,73.4625,101.38125000000004,-29.953541666666656,12.75625,-10.982187500000002,-11.088541666666664,-11.175625000000002,-6.094124999999997,4.141666666666668,6.385416666666671,6.385416666666671,-9999,0.008707518750000002,0.0011687347916666667,0.024445820833333326,-9999,-9999,-9999,-9999,-9999,-9999,0.008854166666666668,166.19079166666663,-2.079,0.018625,0.0003125,0.1374375,73.4625,101.3916666666667,-29.790416666666665,0.158,12.75625,3.2725625,0.506534366933231,0.05206034818140984,3.6514377088758128,3.0
20141215,-9999,-9999,-9999,-9999,-9999,0.006091269841269841,-3.5795416666666675,0.012791666666666666,0.00025,0.11137270833333332,69.87145833333334,101.1,-33.33208333333332,12.745833333333335,-10.599895833333333,-10.755520833333335,-10.890208333333332,-7.167739583333333,4.0510416666666655,6.311458333333337,6.296875000000003,-9999,0.0012162239583333328,0.0008003018749999999,0.0023677604166666665,-9999,-9999,-9999,-9999,-9999,-9999,0.006083333333333335,158.53660416666676,-3.5795416666666675,0.012791666666666666,0.00025,0.11145833333333333,69.87145833333334,101.1,-33.31416666666665,0.054000000000000006,12.745833333333335,3.643895833333333,0.24822558454470064,0.04212933468180174,4.024187794822619,3.0
20141216,-9999,-9999,-9999,-9999,-9999,0.00015873015873015854,-0.396,0.0003333333333333333,0.00020833333333333332,0.14089854166666665,73.60916666666667,100.99374999999998,-29.54000000000001,13.800000000000002,-10.3415625,-10.516875,-10.663437500000002,-6.699552083333335,4.0,6.207291666666663,6.25,-9999,0.009530603958333331,2.2076875e-05,0.02851092708333333,-9999,-9999,-9999,-9999,-9999,-9999,0.00016666666666666666,180.41502083333333,-0.396,0.0003333333333333333,0.00020833333333333332,0.13935416666666664,73.60916666666667,100.99583333333332,-29.748750000000005,0.0,13.800000000000002,7.153312499999998,0.5462348935078297,0.05162540061594472,3.631110002754957,3.0
20141217,-9999,-9999,-9999,-9999,-9999,0.00015873015873015876,-0.6719166666666667,0.0003333333333333333,0.0002916666666666667,0.18847208333333326,79.83750000000002,101.08958333333328,-23.391875,14.006250000000007,-10.392291666666667,-10.509479166666663,-10.624895833333337,-4.70303125,4.025000000000003,6.199999999999995,6.230208333333329,-9999,0.033435812499999995,2.1896875e-05,0.11305008333333327,-9999,-9999,-9999,-9999,-9999,-9999,0.00016666666666666666,201.43072916666657,-0.6719166666666667,0.0003333333333333333,0.0002916666666666667,0.18860416666666666,79.83750000000002,101.08749999999992,-23.375833333333336,0.17000000000000004,14.006250000000007,6.115479166666666,1.100651866839731,0.0729903544640075,3.1984621090342578,3.0
20141218,-9999,-9999,-9999,-9999,-9999,3.968253968253958e-05,0.06668749999999997,8.333333333333333e-05,0.0002708333333333334,0.18743291666666664,79.79166666666667,101.07916666666661,-23.47395833333333,14.110416666666673,-10.296770833333337,-10.404374999999998,-10.501979166666667,-4.248677083333334,4.0500000000000025,6.241666666666667,6.199999999999995,-9999,0.032609041666666665,5.429583333333333e-06,0.11195270833333336,-9999,-9999,-9999,-9999,-9999,-9999,4.1666666666666665e-05,220.94054166666663,0.06668749999999997,8.333333333333333e-05,0.0002708333333333334,0.1876458333333334,79.79166666666667,101.08124999999997,-23.449374999999996,0.5800000000000003,14.110416666666673,4.928708333333333,1.0732343796893091,0.07229148962157103,3.109734582233445,3.0
20141219,-9999,-9999,-9999,-9999,-9999,0.0010714285714285726,0.18862499999999985,0.00225,0.0002708333333333334,0.18057125000000004,79.03749999999998,100.77083333333336,-24.275416666666654,14.704166666666666,-10.181979166666666,-10.284062500000003,-10.380104166666667,-4.210010416666668,4.020833333333337,6.20208333333333,6.199999999999995,-9999,0.0280118125,0.00013959875,0.09733125,-9999,-9999,-9999,-9999,-9999,-9999,0.0010833333333333335,201.876375,0.18862499999999985,0.00225,0.0002708333333333334,0.17977083333333332,79.03749999999998,100.77916666666671,-24.375416666666666,0.15000000000000005,14.704166666666666,4.944895833333333,0.9821026749100756,0.06878529908911611,3.14573634208384,3.0
20141220,-9999,-9999,-9999,-9999,-9999,0.00018849206349206356,0.014854166666666647,0.0003958333333333333,0.0002916666666666667,0.2081002083333333,82.3604166666667,100.41666666666674,-20.70666666666667,14.839583333333335,-10.254166666666668,-10.318645833333337,-10.3946875,-3.047166666666667,4.0500000000000025,6.237500000000002,6.199999999999995,-9999,0.04978408333333334,2.403770833333333e-05,0.1897061458333333,-9999,-9999,-9999,-9999,-9999,-9999,0.00018750000000000006,199.5577083333333,0.014854166666666647,0.0003958333333333333,0.0002916666666666667,0.20762500000000006,82.3604166666667,100.42356250000002,-20.787500000000005,0.3170000000000001,14.839583333333335,4.834520833333333,1.2004844902829035,0.0812081267956135,3.3905500603301677,3.0
