TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,TS_7,TS_8,G_1,G_2,G_3,G_4,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20150522,-0.01789589111111113,7.474651666666666,4.701150130434783,2.9904383947368425,0.14761386041666666,255.50416666666663,217.05583333333325,291.8104166666667,304.49999999999994,-9999,-9999,-9999,82.43916666666667,100.46483333333332,-9999,0.0,-10.900208333333332,-10.944375,-11.088333333333333,-11.271666666666668,-11.17354166666667,-11.397291666666668,-9999,-11.727291666666668,1.6221250000000005,1.5696875,0.743375,0.6516250000000002,0.20518707708333328,0.18429854166666668,0.906326875,0.8704041666666669,248.00068750000003,-9999,-0.020888793750000027,6.495668124999999,4.522294708333334,2.8387668541666677,255.50416666666663,217.05583333333325,291.8104166666667,304.49999999999994,-9999,-9999,0.6887083333333331,82.43916666666667,100.46483333333332,-4.971500000000002,0.0,2.8291875,4.573979834532186,-0.010594544215184656,3.1900406574583844,1.0
20150523,-0.049121876086956534,5.0048865853658535,5.985905106382978,2.2558334210526314,0.2629160208333334,279.27479166666666,238.8089583333333,291.975,310.60833333333335,-9999,-9999,-9999,87.43541666666665,100.61881249999998,-9999,0.0,-10.69,-10.741666666666667,-10.89583333333333,-9999,-10.993541666666669,-11.241666666666667,-9999,-11.630000000000004,1.9720208333333344,1.7970833333333345,0.6663125000000001,0.8869583333333334,0.2718409375,0.2303047916666667,0.908180625,0.9248868750000002,285.99583333333345,-9999,-0.04153594375,4.1469033333333325,5.860304916666667,2.0577227729166663,279.27479166666666,238.8089583333333,291.975,310.60833333333335,-9999,-9999,0.6592291666666666,87.43541666666665,100.61881249999998,-3.207875,0.0,6.070916666666666,5.995238688208215,-0.04354871576299723,2.9703290410245398,1.0
20150524,-0.22078707619047627,7.4827609756097555,5.452405116279068,0.6281599999999994,0.18728521666666664,253.18416666666667,217.95645833333333,293.8333333333333,305.0083333333334,-9999,-9999,-9999,85.91666666666669,101.30752083333331,-9999,0.0,-10.447083333333332,-10.505833333333337,-10.672291666666666,-9999,-10.786875,-11.072291666666665,-9999,-11.525833333333333,1.9344375,1.8335624999999995,0.9809583333333336,1.1158541666666668,0.4133454791666667,0.2292770833333333,0.9068552083333336,0.8708641666666667,282.07708333333323,-9999,-0.1840668583333334,5.7297625,4.904528833333333,0.752008125,253.18416666666667,217.95645833333333,293.8333333333333,305.0083333333334,-9999,-9999,0.8976458333333334,85.91666666666669,101.30752083333331,-3.5430833333333336,0.0,3.312062500000001,5.10737872109839,-0.1738288982388467,0.8268447726969438,1.0
20150525,-0.4546091172413793,13.777608695652175,6.46716,0.06817740740740796,0.20173308541666668,269.93645833333323,228.3877083333334,291.65624999999994,308.0416666666667,-9999,-9999,-9999,83.58999999999997,101.14570833333332,-9999,0.0,-10.283333333333333,-10.340625,-10.50416666666667,-9999,-10.615208333333333,-10.910208333333335,-9999,-11.416041666666667,1.7317916666666673,1.6481666666666672,1.1048958333333336,0.8280416666666665,0.5098385,0.2377612500000001,0.9168983333333336,0.8362195833333331,194.5065833333333,-9999,-0.2720794093749999,5.332200000000001,4.600226208333334,0.4131013333333335,269.93645833333323,228.3877083333334,291.65624999999994,308.0416666666667,-9999,-9999,0.9960625,83.58999999999997,101.14570833333332,-3.4799583333333337,0.0,1.8068125,5.69952336026403,-0.2306842328447931,0.9946699299126868,1.0
20150526,0.025947326279069767,5.279413947368421,4.183047073170732,1.266542,0.08779129166666666,278.16062500000004,229.2939583333333,289.5895833333332,315.39166666666665,-9999,-9999,-9999,85.30625000000002,100.87004166666662,-9999,0.0,-10.121666666666664,-10.183541666666667,-10.35125,-10.35,-10.468125,-10.770625,-9999,-11.304999999999998,1.8808333333333327,1.7775625000000002,1.0226250000000003,0.7856666666666667,0.2328476875,0.2632714583333334,0.96118375,0.8480364583333332,95.42875,-9999,0.03042221520833334,3.6129014583333343,3.791946874999999,1.2092280000000002,278.16062500000004,229.2939583333333,289.5895833333332,315.39166666666665,-9999,-9999,1.2219375,85.30625000000002,100.87004166666662,-2.7831041666666665,0.0,0.9781041666666664,4.608501537222371,0.040323341086563394,1.905599188304008,1.0
20150527,0.1711477133333333,-6.31279125,4.560739428571429,2.659469743589743,0.17104253958333338,373.6914583333333,277.3935416666667,241.35000000000005,308.45208333333323,-9999,-9999,-9999,84.3460416666667,100.88947916666667,-9999,0.0,-9.91895833333333,-9.987291666666668,-10.162708333333333,-9999,-10.292708333333334,-10.620208333333332,-9999,-11.195833333333338,1.9500833333333336,1.8485208333333345,1.0774583333333336,1.0245625000000005,0.19041791666666666,0.31046416666666665,1.06294125,0.8991372916666663,100.23124999999996,-9999,0.12004933541666665,-4.428874166666668,3.653410708333334,2.4365039583333328,373.6914583333333,277.3935416666667,241.35000000000005,308.45208333333323,-9999,-9999,1.0075,84.3460416666667,100.88947916666667,-1.5896666666666663,0.0,4.161291666666668,5.685536018293617,0.14335653166316786,2.879973232109132,1.0
20150528,0.029198824137931064,-4.6900144117647065,2.4664312500000003,-1.7288549666666668,0.17856035,367.51187500000015,256.41687500000006,266.45208333333335,316.3833333333334,-9999,-9999,-9999,86.67708333333331,101.05258333333336,-9999,0.0,-9.730624999999996,-9.805416666666666,-9.987916666666667,-10.04,-10.126666666666667,-10.471458333333333,-9999,-11.084166666666668,1.9775625,1.959083333333333,1.1739583333333334,0.9282083333333332,0.29058148125,0.3664197916666667,1.1286206250000004,0.9671810416666662,72.31958333333334,-9999,0.07583737291666667,-4.3420902083333335,2.694889645833334,-0.8077231041666667,367.51187500000015,256.41687500000006,266.45208333333335,316.3833333333334,-9999,-9999,0.6866041666666663,86.67708333333331,101.05258333333336,-0.005145833333333466,0.0,4.465770833333333,5.805986832315654,0.08094171787829839,0.15074058534847165,1.0
20150529,-0.3725374615384615,3.395857894736842,19.089849999999995,-1.348734782608696,0.3044096206896552,313.9279166666667,246.3666666666666,290.46874999999994,325.62291666666675,-9999,-9999,-9999,91.39791666666666,101.1908125,-9999,0.0,-9.240312499999998,-9.408395833333334,-9.685416666666667,-9999,-9.907499999999997,-10.304583333333332,-9999,-10.96875,2.432645833333333,2.2498541666666667,1.2976250000000005,1.2823958333333338,0.4765531249999999,0.3722212500000001,1.1382358333333331,0.9641652083333332,54.065625,-9999,-0.104332875,0.2603612499999999,8.018605104166665,-0.14584416666666666,313.9279166666667,246.3666666666666,290.46874999999994,325.62291666666675,-9999,-9999,0.2895208333333333,91.39791666666666,101.1908125,-0.1304375000000002,0.0,4.241833333333333,17.225031677612158,0.011243965433817808,1.0306299030750443,1.0
20150530,0.035102266666666666,-1.3325241666666665,4.0895209999999995,-0.5288966774193548,0.3352978536585368,327.3172916666667,245.239375,284.81875000000014,326.25208333333336,-9999,-9999,-9999,91.27916666666668,101.36495833333332,-9999,0.0,-6.403229166666668,-6.875749999999999,-7.597729166666665,-9999,-8.484791666666665,-9.617916666666666,-9999,-10.822291666666667,4.128187500000001,3.8388541666666667,1.9586041666666667,2.2239374999999995,0.4158664937500001,0.4284639583333333,1.1940400000000002,1.0209362499999997,75.30645833333331,-9999,0.012596645833333316,0.04035904166666656,4.2968462500000015,-0.0969450416666668,327.3172916666667,245.239375,284.81875000000014,326.25208333333336,-9999,-9999,0.8715208333333334,91.27916666666668,101.36495833333332,1.1306666666666667,0.0,4.9789375,9.183567311688973,0.09099807233123017,1.1272866835198891,1.0
20150531,0.30418825714285713,-4.230720975609756,0.09350629629629616,0.5023097619047621,0.29769539375000004,258.485625,191.65479166666668,310.31458333333336,328.5833333333333,-9999,-9999,-9999,91.24166666666666,101.1715416666667,-9999,0.0,-5.331729166666668,-5.803520833333333,-6.518874999999999,-9999,-7.404500000000001,-8.74333333333333,-9999,-10.548958333333333,9.395020833333332,9.302458333333334,5.887041666666666,5.546645833333334,0.24979294791666665,0.4597779166666665,1.1859097916666663,1.0451935416666664,74.38333333333334,-9999,0.20998593766666665,-1.8101970833333336,2.7716704166666664,0.7710470833333338,258.485625,191.65479166666668,310.31458333333336,328.5833333333333,-9999,-9999,0.9857916666666668,91.24166666666666,101.1715416666667,1.6169791666666662,0.0,5.215937499999999,10.30860007523895,0.2600878869636206,1.1005757493783914,1.0
20150601,0.3880358043478261,-20.277810416666668,-0.36504591891891897,4.111926666666667,0.2355278125,311.50791666666674,213.4970833333333,291.12708333333325,330.25,-9999,-9999,-9999,79.87,100.87829166666666,-9999,0.0,-3.0182708333333337,-3.6046041666666664,-4.492666666666667,-9999,-5.661645833333334,-7.522124999999999,-9999,-10.152291666666667,13.783750000000005,13.44020833333333,8.974687500000002,8.211000000000002,0.2134979791666666,0.5968504166666667,1.3050975000000002,1.1758737499999998,92.27833333333336,-9999,0.3833505625,-20.277810416666668,2.3519564791666667,3.851590416666667,311.50791666666674,213.4970833333333,291.12708333333325,330.25,-9999,-9999,2.795833333333333,79.87,100.87829166666666,4.501833333333333,0.0,5.010625000000002,6.656226977240782,0.3790939958372848,4.124595543244636,1.0
20150602,0.359148125,-24.64916666666667,0.6351375111111104,3.1731195869565214,0.2163001875,365.5314583333334,223.66333333333338,265.19166666666666,334.01875,-9999,-9999,-9999,70.31875,101.09114583333331,-9999,0.0,-2.278104166666666,-2.8120416666666674,-3.590958333333333,-9999,-4.606583333333334,-6.4636875,-9999,-9.620416666666667,11.166458333333333,10.368541666666667,7.450666666666668,6.434708333333332,0.39012054166666665,0.7492683333333333,1.4392700000000005,1.30208125,90.16291666666667,-9999,0.359148125,-24.64916666666667,3.193628916666667,3.2130250208333333,365.5314583333334,223.66333333333338,265.19166666666666,334.01875,-9999,-9999,5.03875,70.31875,101.09114583333331,7.232604166666667,0.0,4.504395833333333,6.267268683124378,0.359148125,3.2396546067981444,1.0
20150603,0.3229141304347827,-17.579571739130433,4.332096666666667,3.1770935,0.24325097916666655,347.339375,133.82820833333332,274.08958333333334,336.96874999999994,-9999,-9999,-9999,69.22645833333334,101.24258333333336,-9999,0.0,-1.823708333333333,-2.3448541666666665,-3.071770833333334,-9999,-3.9862291666666665,-5.768270833333332,-9999,-9.076041666666667,10.309791666666673,10.12104166666667,7.165729166666671,6.49497916666667,0.4797920833333333,0.8073460416666665,1.4865602083333336,1.3417083333333333,84.8777083333333,-9999,0.3275522916666667,-16.428747916666662,4.3609197916666655,3.3297841666666668,347.339375,133.82820833333332,274.08958333333334,336.96874999999994,-9999,-9999,5.049354166666666,69.22645833333334,101.24258333333336,7.974604166666666,0.0,3.6951666666666654,5.562816618819303,0.331078784416906,3.1626768605572764,1.0
20150604,0.25438371111111113,15.905856521739128,21.51099068181817,3.1716741463414637,0.20388270208333328,278.5027083333334,34.70441666666667,307.81249999999994,346.18124999999986,-9999,-9999,-9999,68.65708333333333,100.91483333333332,-9999,0.0,-1.095270833333333,-1.670375,-2.4263125000000003,-9999,-3.3562291666666666,-5.178729166666667,-9999,-8.580416666666666,10.702500000000002,10.652083333333335,7.037770833333329,7.3285208333333305,0.5867341666666667,0.8536139583333333,1.199536458333333,1.369902083333333,71.48208333333334,-9999,0.2668747291666667,15.8528,20.91115604166666,3.5863277083333327,278.5027083333334,34.70441666666667,307.81249999999994,346.18124999999986,-9999,-9999,5.733458333333335,68.65708333333333,100.91483333333332,8.446020833333332,0.0,2.3121041666666664,23.02172556994165,0.25956535365029043,3.884343791613207,1.0
