TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,G,SWC_1,SWC_2,SWC_3,SWC_4,SWC_5,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160316,-0.7461594594594597,51.453351351351344,8.837613513513514,-9999,0.5405833333333335,123.86497500000004,19.211860416666667,266.14522916666664,329.67270833333333,39.38570625,244.60187499999984,13.971522916666665,-9999,-9999,100.22995624999996,-9999,0.0,0.4494531250000002,0.5451302083333333,0.2956250000000001,0.7979583333333337,0.9642708333333332,-1.503337777777778,23.19809090909091,24.60120930232558,37.0675,38.58299302325582,46.32773170731709,1.4108863520833328,1.0377257333333338,0.7244010753750002,0.14551022916666664,297.4629166666667,2.6849583333333333,-0.37315625,34.45460416666666,7.064464791666667,-9999,123.8889375,19.211854166666665,266.14522916666664,329.67270833333333,39.38594999999999,244.60187499999984,13.971510416666666,1.9261041666666665,-9999,100.22997916666668,3.5768124999999986,0.0,-1.5022020833333334,3.1882708333333336,8.524430987058915,-0.3852057435769454,-0.4671122466458169,3.0
20160317,-0.6972425000000001,20.8924375,16.232335,-9999,0.6600000000000003,85.44392708333334,13.26139583333333,271.4684583333334,321.4837500000001,19.05892291666667,169.94606250000004,9.957793750000002,-9999,-9999,98.97408958333335,-9999,1.125,0.4941406250000001,0.5725,0.3190000000000001,0.8236249999999999,0.9895833333333334,-1.4901520833333337,25.824000000000005,25.98578780487805,37.913170000000015,40.457524390243904,45.79296874999999,1.4083815,0.9159152229166666,0.5355024854166666,0.10923645833333334,258.2528723404256,3.1520425531914897,-0.4924685416666668,15.30740625,14.815106249999998,-9999,85.68160416666667,13.261414583333329,271.4684583333334,321.4837500000001,19.058922916666667,169.94604166666673,9.957781250000004,1.3576458333333334,-9999,98.9740625,1.7109999999999996,1.15,-1.4901520833333337,3.83825,15.04290804364965,-0.5084002202642445,-0.7908243163941183,3.0
20160318,0.7025315789473686,67.95827631578948,15.832124324324324,-9999,0.8289333333333332,104.18480833333332,16.081372916666666,232.02900000000002,295.1929166666667,19.13105624999999,193.7575,11.173297916666666,-9999,-9999,98.69729583333334,-9999,0.005,0.5804166666666669,0.6579947916666667,0.3948541666666668,0.9030625,1.0641145833333334,-1.44191875,27.18485714285714,26.620777777777768,39.08923636363637,40.743546511627905,45.98147368421054,-0.04105251666666667,0.6352981458333334,0.6515234979166665,0.04078752083333335,265.73864444444445,3.8565555555555564,0.6763508333333336,54.69853750000001,13.927719166666662,-9999,104.43712499999998,16.081366666666664,232.02900000000002,295.1929166666667,19.131333333333327,193.7575,11.173304166666664,2.1778124999999995,-9999,98.6973125,-4.276208333333334,0.01,-1.44191875,4.2175208333333325,14.662669586829702,0.6337590701217728,-1.458648682006306,3.0
20160319,0.20229200000000006,98.489548,11.680124,-9999,0.4522916666666666,111.40316458333336,18.036375,212.2707291666666,287.61604166666666,17.962737499999996,214.0016666666667,12.478258333333327,-9999,-9999,98.53493958333333,-9999,0.03,0.521328125,0.6755729166666665,0.409375,0.9170833333333336,1.075182291666667,-1.5359595744680847,27.59384146341464,26.38895581395349,38.743751282051285,40.3712275,46.12072413793104,0.23105712499999995,0.5432867166666667,0.6920286725416666,0.03125652083333333,309.35445833333335,2.6048750000000003,0.3122299375,37.838431250000006,6.21532625,-9999,111.49089583333333,18.03636875,212.2707291666666,287.61604166666666,17.962806249999996,214.0016666666667,12.478227083333328,1.2659999999999998,-9999,98.53489583333337,-6.066166666666668,0.06,-1.5589687499999998,2.7602500000000005,9.076061303492061,0.3258618106997618,-1.1784532308522364,3.0
20160320,0.03812083333333334,105.77366666666666,9.310137500000002,-9999,0.3386222222222223,136.08051249999997,1.3707,226.4494375000001,294.0225,44.94997291666667,257.13645833333345,14.9003375,-9999,-9999,98.30836249999996,-9999,0.0,0.24526041666666676,0.6402864583333331,0.4031875000000001,0.9095625000000002,1.0669270833333333,-2.802177272727273,25.81731818181818,26.190218181818175,38.435309090909094,40.55473488372093,45.93030555555556,0.3339605722916668,0.5702702083333334,0.8362617054166663,0.04014441666666667,304.9195833333333,2.029041666666667,0.2363102083333333,39.72460416666666,5.781018750000001,-9999,136.19150000000002,20.969479375,226.4494375000001,294.0225,44.94986666666668,257.13645833333345,14.9002875,2.144,-9999,98.30839583333336,-4.779979166666667,0.0,-2.7563520833333333,2.365,7.949213995413648,0.2757300663754144,-0.908956316488308,3.0
20160321,0.5887416666666666,108.88826249999998,32.46066666666667,-9999,0.3275652173913044,130.3153195652174,23.61721914893616,243.1186666666666,296.76645833333333,38.75430434782609,243.43326086956523,17.45120208333333,-9999,-9999,98.27655625,-9999,1.5348499999999998,0.2252864583333333,0.5872135416666666,0.3952291666666666,0.9022916666666666,1.05640625,-2.933681818181817,24.015559523809525,26.347400000000004,38.315151162790706,39.976524390243895,46.60885294117647,-0.03953510208333333,0.5691194041666666,0.8166396916666666,0.040846958333333336,75.20510416666666,1.6573541666666671,0.6086554166666668,48.00806041666666,20.102017916666668,-9999,130.24464583333335,23.13612958333333,243.1186666666666,296.76645833333333,49.67985416666668,243.07416666666663,17.45122083333333,1.5800416666666668,-9999,98.2765625,-4.2097500000000005,1.7700000000000005,-2.879670833333332,2.2855000000000008,19.56147219683536,0.5713030183679032,-0.8647986426246392,3.0
20160322,0.20886666666666664,149.88617619047622,9.126295454545453,-9999,0.20770454545454556,148.3896083333333,23.718454166666678,207.29929166666676,289.53416666666664,40.03432291666668,277.76562499999994,16.858447916666666,-9999,-9999,98.80816458333331,-9999,0.0,0.04026041666666665,0.5523958333333332,0.4032291666666668,0.9135416666666666,1.0586979166666668,-3.3443208333333327,21.08242045454546,25.635686363636363,37.71270930232559,39.86405714285714,46.35810256410257,0.15785799791666666,0.4840051166666668,0.94011391875,0.03291853333333333,151.97800000000004,1.4186595744680852,0.32614531249999995,61.89563958333332,6.519100000000001,-9999,148.69475,23.718441666666678,207.29929166666676,289.53416666666664,40.03419375000001,277.76562499999994,16.85846666666667,2.139229166666667,-9999,98.80814583333334,-6.272354166666666,0.0,-3.3443208333333327,2.2233333333333327,8.717793846344414,0.32532166847421673,-0.9355758717552464,3.0
20160323,0.0954,57.505504545454556,9.81142424242424,-9999,0.4483191489361703,63.90662916666667,10.039675,273.32966666666664,296.1022916666667,26.30919583333333,128.11604166666666,9.546754166666666,-9999,-9999,98.82470416666663,-9999,1.6700499999999998,0.04018229166666667,0.4954427083333332,0.381875,0.9021041666666668,1.0457291666666666,-3.4383083333333317,19.979833333333332,24.59824545454546,38.04527209302324,38.68016511627907,46.3025,0.2731395416666668,0.5276309979166668,0.44086010208333337,0.04126158333333334,181.06574468085103,2.297765957446809,0.254491625,18.73021458333334,7.898758958333333,-9999,64.09545833333334,10.039687499999998,273.32966666666664,296.1022916666667,26.309124999999995,128.11604166666666,9.546760416666668,0.8003750000000003,-9999,98.82475,-4.2225625,1.79,-3.4383083333333317,3.542291666666667,8.874147913643991,0.21561041941208492,-1.0452290428910445,3.0
20160324,0.2419102564102565,23.753938461538464,14.037630769230773,-9999,0.5091875000000001,64.70093333333335,10.55419375,289.03279166666664,309.431875,26.80641250000001,128.39937500000002,10.43548125,-9999,-9999,98.78056041666665,-9999,0.08665,0.26080729166666666,0.5153645833333332,0.3487083333333333,0.8669791666666667,1.0119010416666665,-2.096743749999999,19.991068181818182,24.72049545454545,38.16855454545453,38.4823659090909,45.94566666666666,0.2960846979166667,0.6010902416666667,0.4469010937499999,0.06419512499999999,215.2675,2.696,0.30500541666666675,17.23264375,12.71084583333334,-9999,64.73577083333333,10.554206250000002,289.03279166666664,309.431875,26.80670625,128.39937500000002,10.43548125,0.7156875,-9999,98.78056250000002,-1.2122083333333336,0.09,-2.096743749999999,3.5391458333333325,12.634520093729154,0.3210500628321609,-0.8311096678364055,3.0
20160325,-0.02941351351351352,-7.465837931034483,8.763110810810808,-9999,0.5117291666666666,27.02577708333333,5.220791666666668,310.68872916666663,315.6827083333333,11.53830208333333,57.23520833333336,5.3279812500000014,-9999,-9999,98.40096458333336,-9999,1.9549999999999996,0.35203125,0.5357291666666668,0.34141666666666665,0.8523750000000002,0.9962500000000002,-1.9189,20.515577777777775,24.84103777777777,37.71027777777778,38.20275555555555,46.15906818181819,0.4991939166666666,0.6210435687499998,0.19378605875,0.07731270833333333,196.07583333333332,2.7649375,0.12185145833333336,-10.026312500000003,6.894838104166663,-9999,27.09708333333333,5.220785416666668,310.68872916666663,315.6827083333333,11.538289583333333,57.23520833333336,5.327937500000001,0.2271875000000001,-9999,98.401,0.15952083333333336,2.26,-1.9127729166666665,3.891937499999999,8.455571817138354,0.15920348145033833,-0.8215956135136384,3.0
20160326,-0.2031257142857143,-1.2585852941176467,6.825457142857143,-9999,0.4389791666666667,36.86884375,10.00754583333333,317.9355000000001,321.50645833333346,21.452245833333336,77.35333333333334,7.22521875,-9999,-9999,98.86886875,-9999,0.8734500000000002,0.4114583333333333,0.5366406249999999,0.3283541666666667,0.8342291666666665,0.9763541666666664,-1.6695613636363626,22.18198863636364,25.473175,37.57753863636364,37.72312954545454,46.26558974358976,0.674609529166667,0.7110663416666664,0.3794215655416669,0.2261388333333334,201.60479166666676,2.4279166666666665,0.03645791666666662,-9.230747916666667,5.006745054166667,-9999,36.9289375,10.007527083333333,317.9355000000001,321.50645833333346,21.452185416666666,77.35333333333334,7.22524375,0.0765,-9999,98.86885416666664,1.5170208333333333,1.0300000000000002,-1.6759062499999997,3.4218333333333333,7.114708459601759,0.06333897518300026,-0.6311176926603441,3.0
