TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,TA,P,TS_1,G,SWC_1,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20080603,0.6420436041666666,58.18249145833335,47.30129250000002,5.875354893617019,0.4328233333333333,208.36281797985416,97.99947916666662,399.26102083333336,0.7079846037418837,89.46416666666666,-1.2559166666666663,0.0,-9999,5.580145833333333,-9999,0.7974874791666666,1.4395362875000004,0.8422903583333334,1.0324368749999997,5.3316875,0.6420436041666666,58.18249145833335,47.30129250000002,6.312368333333333,208.36287500000003,258.14202083333333,97.99947916666662,399.26102083333336,0.7079583333333331,89.46416666666666,99.4829166666667,-1.2559166666666663,0.7270000000000001,5.580145833333333,5.3316875,47.30129250000002,0.6420436041666666,5.966833668967181,1.0
20080604,0.7545977906976744,20.20946453488372,26.10298572093024,0.5831235348837209,0.28882175,96.96673245870835,41.45635416666667,184.18387500000003,0.7459268689197348,87.42083333333332,-1.0358958333333337,0.0,-9999,0.10018749999999997,-9999,0.6541072708333334,1.4535174537499995,0.4673569583333333,1.0441902083333332,3.7253958333333337,0.7994126041666666,17.563043229166666,24.192926791666675,1.0569023333333334,96.96664583333336,274.665875,41.45635416666667,184.18387500000003,0.7456041666666665,87.42083333333332,99.40852083333333,-1.0358958333333337,0.6710000000000003,0.10018749999999997,3.7253958333333337,24.20026886442882,0.7867538107645676,1.6252522202632005,1.0
20080605,0.6918868260869567,29.194818043478254,24.460575217391305,0.9317515217391305,0.2650689166666667,111.56282894347912,51.71087499999999,212.9664583333333,0.7087969843448615,87.5458333333333,-1.371875,0.0,-9999,3.4455000000000005,-9999,0.7328760291666666,1.4441163689583332,0.5201268750000001,1.017984375,3.1058958333333333,0.711237375,27.760363124999994,23.762855416666664,1.0458243749999998,111.56279166666668,266.527395833333,51.71087499999999,212.9664583333333,0.7084166666666665,87.5458333333333,98.86039583333331,-1.371875,0.2400000000000001,3.4455000000000005,3.1058958333333333,23.671251232829434,0.707362747035908,1.3284526263837917,1.0
20080606,0.64989388372093,40.76896825581395,25.386573255813943,0.12844967741935484,0.18760854166666666,133.65368421364585,61.44329166666666,254.8226666666667,0.9694719478832786,83.01145833333334,-1.7391041666666671,0.0,-9999,4.829854166666667,-9999,0.7323109583333332,1.4349636087500002,0.5986143125,0.9900777083333332,2.1179583333333345,0.7026507708333329,36.03950697916667,23.599494791666654,2.1303320833333337,133.65360416666667,259.53197916666653,61.44329166666666,254.8226666666667,0.9689375,83.01145833333334,98.39447916666666,-1.7391041666666671,0.7500000000000004,4.829854166666667,2.1179583333333345,23.594198699639858,0.6933138410982626,4.057629132848407,1.0
20080607,0.8210201219512195,52.21597344186048,39.183565853658536,53.23868390243904,0.3618454583333333,164.74796052781255,96.8984375,315.7371041666665,1.0571590549760679,83.99083333333333,-0.31620833333333337,0.0,0.9272,7.8387708333333315,-9999,0.6826206041666666,1.5533849347916666,0.6778042291666667,1.1028864583333335,4.521937500000001,0.8707609374999999,46.226388708333346,34.61915208333333,46.15015708333334,164.7479375,275.1755833333335,96.8984375,315.7371041666665,1.0569791666666668,83.99083333333333,98.31164583333332,-0.31620833333333337,4.673999999999999,7.8387708333333315,4.521937500000001,34.385767957813094,0.8595231264303039,46.87793562319475,1.0
20080608,-0.09317666666666666,1.9126067500000008,-1.967377777777778,8.445604523809527,0.3946440444444445,84.54841008866667,30.7150625,160.34799999999998,0.0028921536940210643,99.94791666666669,0.01662499999999995,3.2,0.40895833333333337,4.930208333333332,-9999,0.9502697916666666,1.5951325970833328,0.4091425854166664,1.1275229166666665,3.887041666666668,0.6448646041666667,3.504041041666666,16.661389583333328,8.039733125000003,84.54835416666667,319.8875625000001,30.7150625,160.34799999999998,0.0028750000000000013,99.94791666666669,97.7251875,0.01662499999999995,4.456000000000001,4.930208333333332,3.887041666666668,14.663882449248588,0.5635592397992385,8.939289917753188,1.0
20080609,0.30290371874999994,22.029941860465122,29.5188625,7.665117499999997,0.2833260416666667,89.94326754268751,53.55018749999999,171.4074375,0.016570136841226858,99.76041666666669,0.6362708333333331,0.6000000000000001,1.2209791666666665,10.524208333333332,-9999,1.0937906250000002,1.658603741875,0.4442274354166665,1.1725604166666663,3.1336041666666667,0.5648133125000001,19.082343750000007,23.09140625000001,7.165531249999997,89.94327083333332,295.6934166666665,53.55018749999999,171.4074375,0.016541666666666673,99.76041666666669,97.87887499999998,0.6362708333333331,0.10400000000000001,10.524208333333332,3.1336041666666667,22.653852326742054,0.5194729907844068,8.665473245778184,1.0
20080610,0.9161886382978722,16.567611063829787,21.666804255319143,0.4936188723404255,0.3773147916666668,92.53471491547917,54.14554166666667,176.02154166666665,0.05912320986342665,99.08333333333336,0.2126458333333333,0.0,0.5528958333333335,4.8564583333333315,-9999,0.7219394375000001,1.6453706891666666,0.49454499999999996,1.117941666666667,4.699583333333332,0.9234305416666668,16.091394166666667,21.328860416666664,0.5116809791666667,92.53474999999996,279.98752083333335,54.14554166666667,176.02154166666665,0.059145833333333335,99.08333333333336,98.33166666666664,0.2126458333333333,0.0,4.8564583333333315,4.699583333333332,21.320425689593925,0.9221585440267625,0.6841277802243252,1.0
20080611,0.4688537787234042,43.505039361702146,25.83033617021277,5.100195487804878,0.18962439583333326,158.595328951125,90.78235416666669,302.20891666666665,0.5644565704458478,92.9375,1.8096250000000005,0.0,1.9430208333333332,17.406145833333333,-9999,1.3011693750000002,1.7839552441666675,0.8026255,1.2292860416666669,2.1410625000000008,0.4827839083333332,42.498653125000025,25.43606458333333,7.098991979166665,158.5953125,277.3573958333332,90.78235416666669,302.20891666666665,0.5646041666666665,92.9375,98.7537708333333,1.8096250000000005,0.0,17.406145833333333,2.1410625000000008,25.420641703985662,0.4818649327806353,6.365698929610282,1.0
20080612,0.8767926818181817,85.74857997727273,68.45695727272728,10.31037025,0.2900100833333334,319.1539473639793,184.3438541666667,629.0119166666667,3.0302179832274847,77.01624999999999,7.553354166666669,0.0,3.448583333333332,27.431416666666674,-9999,1.3341177916666669,2.238140606250001,1.2663337291666668,1.708555625,3.455604166666665,0.904026625,78.08989831250003,63.07520666666666,10.00805645833333,325.8015625,273.0436250000002,184.3438541666667,629.0119166666667,3.033375,77.01624999999999,98.61308333333334,7.553354166666669,0.0,27.431416666666674,3.455604166666665,63.055483526040796,0.9037511936238496,10.433597274437616,1.0
